txn_id,timestamp,customer_id,amount,payment_method,issuer,status,failure_code
TXN00001,2026-08-17 09:47:00,CUST0058,2308.98,upi,,success,
TXN00002,2026-08-17 19:47:00,CUST0053,7153.61,card,Kotak,success,
TXN00003,2026-08-17 10:13:00,CUST0016,1976.39,card,Kotak,success,
TXN00004,2026-08-17 15:14:00,CUST0280,3676.29,netbanking,HDFC,success,
TXN00005,2026-08-17 20:27:00,CUST0082,2820.97,upi,,success,
TXN00006,2026-08-17 10:05:00,CUST0173,3132.43,netbanking,SBI,success,
TXN00007,2026-08-17 20:29:00,CUST0023,4359.39,wallet,,success,
TXN00008,2026-08-17 22:40:00,CUST0151,5005.38,netbanking,Kotak,success,
TXN00009,2026-08-17 09:42:00,CUST0036,1939.0,netbanking,HDFC,success,
TXN00010,2026-08-17 15:17:00,CUST0052,3709.27,netbanking,ICICI,success,
TXN00011,2026-08-17 19:17:00,CUST0108,5659.29,card,Kotak,success,
TXN00012,2026-08-17 20:15:00,CUST0274,1432.71,wallet,,success,
TXN00013,2026-08-17 12:43:00,CUST0286,2695.62,card,ICICI,success,
TXN00014,2026-08-17 15:17:00,CUST0162,669.58,netbanking,ICICI,success,
TXN00015,2026-08-17 23:58:00,CUST0203,5196.39,upi,,success,
TXN00016,2026-08-17 20:35:00,CUST0127,4380.97,wallet,,success,
TXN00017,2026-08-17 14:14:00,CUST0205,7979.01,upi,,success,
TXN00018,2026-08-17 21:03:00,CUST0047,6909.66,upi,,success,
TXN00019,2026-08-17 18:04:00,CUST0217,3170.42,wallet,,success,
TXN00020,2026-08-17 22:00:00,CUST0284,5490.22,card,Kotak,success,
TXN00021,2026-08-17 10:18:00,CUST0175,3562.91,wallet,,failed,generic_decline
TXN00022,2026-08-17 17:48:00,CUST0135,1552.42,card,SBI,success,
TXN00023,2026-08-17 18:12:00,CUST0260,1349.79,upi,,success,
TXN00024,2026-08-17 23:00:00,CUST0272,4851.71,wallet,,failed,generic_decline
TXN00025,2026-08-17 23:53:00,CUST0186,6483.18,upi,,success,
